,snr,res,m,mSigma,a,aSigma
0,19.74799287992563,0.40919122689689924,-0.18215837389175582,0.016489425694407468,-0.06622968124664497,0.006499237238785453
1,19.179740620934744,0.48427235642433325,-0.2389568158039177,0.013570047990411121,-0.0165252777550573,0.0052557274767377074
2,18.93483900744101,0.5359401463833074,-0.2512131782320509,0.012745160422738377,0.0008992873952624533,0.0048590485932432665
3,18.79508727422273,0.5796575244970187,-0.2694802849830542,0.011391606805715361,0.008066243071949808,0.0042823231461252
4,18.70727782587669,0.6201131514738777,-0.2820631997353227,0.010692637215677713,0.021734071502038765,0.0039686610178238145
5,18.688677749120266,0.6608014451961861,-0.24925067700640302,0.0099247640690686,0.028225814630475975,0.003617153461124478
6,18.775290171887153,0.7052851198882345,-0.28762021594367637,0.009259178796589622,0.031211560305420882,0.003280550582445292
7,19.09901428034487,0.7689107709465843,-0.374371949633272,0.010480097185998209,0.03822108764959287,0.00351383730434165
8,24.711387535618694,0.3697417723906968,-0.14372284317626025,0.01342543271710719,-0.05006459830728352,0.005229421221743819
9,24.403955534409423,0.4411508289793547,-0.12760852942480172,0.01169068624309521,-0.008476825685056921,0.004521694970297984
10,24.22928392245962,0.49967342049864094,-0.16729945713530991,0.010264361952238475,0.001483116093835113,0.0039247092936805575
11,24.125993239350624,0.5530443446671176,-0.1672566419941383,0.009296439879879338,0.010235664874596637,0.0035449132432415803
12,24.069676202237382,0.6042900497911868,-0.19524787656029385,0.008282758721218302,0.017843342052148548,0.0031419788414987684
13,24.049247666873445,0.6565794510280408,-0.20866503560443395,0.007813021391698224,0.031966331848258145,0.0029249434087051133
14,24.074160951343686,0.712866282275268,-0.2248019266616191,0.007149036888474298,0.02963533560000143,0.002645073046764848
15,24.13394353682356,0.7865786943731182,-0.3065518098570827,0.008210938905726101,0.03404266755839974,0.0029160643191188606
16,30.53788496802923,0.3507093666205207,-0.09098433751936685,0.012240106869803976,-0.03932056099239922,0.004720653800756619
17,30.393738421082066,0.4173674257038642,-0.11193414010232634,0.010420466031845573,-0.023499183512899934,0.0040041205053635755
18,30.3386813346595,0.47793986362809854,-0.11976259689125812,0.00895944288312327,0.0010886587616496524,0.003404137131984884
19,30.27483404649126,0.5360832633308278,-0.127310758649805,0.00785591453639639,0.004009570148402752,0.002978495740230955
20,30.268817961279737,0.5948457029616293,-0.13734358552748702,0.006967870461544058,0.014576729381609184,0.002640948772694657
21,30.287445106152962,0.6550988097802014,-0.15592121846190854,0.006324338831032521,0.01958881505765342,0.0023740265389441038
22,30.340714722952647,0.7193078679268601,-0.18288112428185577,0.00615276445880163,0.02861694204401626,0.002276282385060375
23,30.3005218171214,0.8008573377043721,-0.24801677796791483,0.0069561966587220955,0.035083723218874985,0.0024817556956511517
24,38.67124247624808,0.3434176740265191,-0.03538214445019516,0.010394630566293691,-0.05241400852662359,0.003991778339323742
25,38.57970766159363,0.41090730699078215,-0.08116769099936079,0.008670802156602183,-0.024492355682477648,0.0033092682968898263
26,38.52277242595073,0.47466697643268324,-0.09372077969672632,0.007400538599945142,-0.0106879361668899,0.0028217862123530693
27,38.53796908708414,0.5369963364052828,-0.11172014911459316,0.006411247968632946,0.0020403919557512307,0.002438977215548489
28,38.571655372136675,0.6004386691516836,-0.10360836541395457,0.005498294794607764,0.007238260127228058,0.0020823812684576935
29,38.596571782835994,0.6644513361743273,-0.13042351417096185,0.0050511858889314,0.012585378433693341,0.001907536545275832
30,38.610408549668044,0.7307986757748819,-0.1531308418053733,0.004925951080795108,0.01964446047972835,0.0018309093301234057
31,38.624335470798016,0.8153005391423398,-0.19211029694273418,0.0055389758339031885,0.026604097152215227,0.0019708079127998333
32,50.85611702431619,0.3411516165407774,-0.01890260220103084,0.00844562609481278,-0.04494065190185465,0.0032347034623625777
33,50.821096881812345,0.4110858186554949,-0.055628014271286386,0.007032404312408316,-0.026438052115172583,0.0026792660091302235
34,50.768226277852406,0.4776943920058268,-0.0683844359703778,0.005880413198087904,-0.010717060333388817,0.0022512565969361586
35,50.76195757095269,0.5439127218886861,-0.09019875722713075,0.004948909514626117,-0.002270821527731503,0.0018857985018819775
36,50.798175474044136,0.6104936936720615,-0.08441543330034151,0.004326969566426625,0.004418890983130974,0.0016391223174688037
37,50.84797099005951,0.6766446625757445,-0.10185271774946014,0.003933238384600409,0.006323181073049744,0.0014800291188297988
38,50.953901841394135,0.7443108634730979,-0.12266541167294841,0.003728259828527496,0.015006976013909767,0.0013914116714163081
39,51.10658582687254,0.8298333034766537,-0.1475757072804631,0.0041156339153559365,0.017903661652669878,0.0014618491780647674
40,71.01899815764575,0.34116822383373957,0.00548345935875294,0.00651032626661569,-0.044626978261220085,0.0024900339346787988
41,71.0953315230725,0.41402037419561805,-0.035081746173674024,0.005330241120903052,-0.02178275484362695,0.0020437055024634266
42,71.16066584600175,0.4821846523682031,-0.05863816717698178,0.004459868790785969,-0.010161672765967245,0.001694507550579435
43,71.04519136172121,0.5511178525485082,-0.06545345115865622,0.0038131324712382154,-0.006025017528035092,0.0014487286956763306
44,70.87817716490771,0.6210305527910713,-0.0680885831836672,0.0032743957798812267,0.0010622341029715595,0.0012455048762390522
45,70.93323863662097,0.6904073826056749,-0.08070533809544013,0.0029369049228383693,0.0027790902240813348,0.0011134061026226195
46,71.13930113448255,0.7599103365772597,-0.08588982108118803,0.0028848817657056046,0.008378598369226609,0.001080361657644166
47,71.87980074406097,0.8457010266251731,-0.10251328273048924,0.003018997709479695,0.010938679341684503,0.0010724006938458263
48,106.7385970388456,0.34874959968620683,0.007393235104856455,0.004735611725855534,-0.0377484809969737,0.0018375233930558556
49,109.3956002043101,0.42687985104931025,-0.025221849722615527,0.003759516896854548,-0.02093015965156574,0.0014452126324871568
50,110.27658076238947,0.49495047103045864,-0.0426133160200588,0.003239950327698856,-0.011854518535030723,0.0012325536996784336
51,110.60168201779562,0.5635472561616056,-0.054650220129225505,0.0027243629115053162,-0.005774206862818742,0.0010361792702479303
52,110.24760164250749,0.6353527040633604,-0.05630005506409452,0.002360254368332395,-0.002315067865298087,0.0008965903717162102
53,110.19725204512876,0.70807061091742,-0.06545505250721373,0.0021682527602578066,0.001538226486242059,0.0008280618324608462
54,110.83137260213051,0.7786175590315886,-0.06202148983884827,0.0021197383545562194,0.004731978514285906,0.0007955034486715779
55,112.33298371532031,0.862378798804027,-0.06321608288050509,0.002092240187502813,0.007107211348505425,0.0007455147885588111
56,163.65572422089602,0.4023850728474578,-0.015021667921049545,0.003125207605205193,-0.02569620557383189,0.001225637732886199
57,184.66190270784003,0.5035576773756407,-0.03325214580215197,0.0022633571301865127,-0.013333722093197276,0.0008831386638525959
58,203.92625553409408,0.5807954745164278,-0.04815479181134563,0.0019265893992089778,-0.006473332616147021,0.0007422056284134461
59,222.3419426178386,0.6502367549298039,-0.047259637214022654,0.0016393877649446852,-0.0030502045123849196,0.0006305709136118578
60,240.174750438058,0.7145058902246746,-0.04461285709663909,0.0015116152862327957,-0.0006272540119078851,0.0005778976473159422
61,251.4752748566395,0.7733680793950024,-0.04200610156516671,0.0014357841362291597,0.001598545119244399,0.0005478848318633139
62,266.4423025277591,0.8297403835561347,-0.03870855335033507,0.0014269615324134382,0.003979429420577052,0.0005325359485808315
63,293.7731246480649,0.8948183147091554,-0.03321747781360296,0.001419954626338726,0.004544724689309998,0.0005054486905498591
